         2636495 function calls (2508677 primitive calls) in 34.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/printing/pretty/stringpict.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/utils/_config_module.py:1(<module>)
       63    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/tokenize.py:350(detect_encoding)
      121    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde_env.py:282(_roll_dice)
        4    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/symbolic_convert.py:770(__init__)
     5305    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:298(ismodule)
       11    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/ufuncs.py:75(decorator)
     1159    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:1358(__getattr__)
       37    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/_shard/op_registry_utils.py:14(_register_op)
     4574    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/polynomial.py:1(<module>)
     2833    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      284    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_numpy/_normalizations.py:204(normalizer_inner)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/_shard/sharding_spec/chunk_sharding_spec.py:1(<module>)
       55    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_ops.py:1016(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/cloudpickle/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/fx/experimental/recording.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/matrices/expressions/matpow.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/colorama/initialise.py:1(<module>)
      638    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/sharding_impls.py:675(prepare_axis_resources)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/variables/higher_order_ops.py:1(<module>)
      597    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/registration.py:214(register)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/multipledispatch/core.py:1(<module>)
       53    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:2050(__new__)
      540    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/_shard/sharded_tensor/_ops/tensor_ops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/calculus/util.py:1(<module>)
      230    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/symbolic_helper.py:236(decorator)
     2140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      347    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/reprlib.py:12(decorating_function)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/nn/jit/instantiator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_replacement.py:1(<module>)
     1240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_functorch/deprecated.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_numpy/_ufuncs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/setops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/printing/smtlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/numberfields/basis.py:1(<module>)
       11    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
       14    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/numpy/ma/core.py:113(doc_note)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_inductor/remote_cache.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/array_creation.py:1(<module>)
      726    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:1122(_is_unpacked_typevartuple)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/fx/decomposition_table.py:1(<module>)
      638    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/api_util.py:459(infer_argnums_and_argnames)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/debugger/colab_debugger.py:1(<module>)
   195/73    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/sorting.py:202(ordered)
      638    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/api_util.py:136(_validate_argnums)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/cudnn/fused_attention_stablehlo.py:1(<module>)
       87    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py:483(__prepare__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/lax/control_flow/loops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_type_utils.py:1(<module>)
     3914    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:1437(__eq__)
     3643    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:3061(<genexpr>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/functions/combinatorial/factorials.py:1(<module>)
     1299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/polyroots.py:1(<module>)
     4516    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     1418    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:531(_field_init)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/ntheory/partitions_.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/sets/fancysets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/opt_einsum/paths.py:1(<module>)
      375    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:1757(<genexpr>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_reporting_descriptor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/colorama/ansitowin32.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/opt_einsum/backends/dispatch.py:1(<module>)
      271    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/mpmath/libmp/libhyper.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/assumptions/ask.py:1(<module>)
       37    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/multipledispatch/core.py:76(ismethod)
      230    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jaxlib/mlir/dialects/_ods_common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/utils/_sympy/singleton_int.py:1(<module>)
      325    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/util.py:431(wrapper)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/fx/experimental/symbolic_shapes.py:2985(ShapeEnv)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/agca/homomorphisms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/parsing/__init__.py:1(<module>)
     2140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/decorators.py:1(<module>)
       68    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:1715(copy_with)
      736    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/numpy/_core/numerictypes.py:289(issubclass_)
     1266    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/external/__init__.py:1(<module>)
       72    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/tokenize.py:374(read_or_stop)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/polyfills/itertools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/numpy/fft/_pocketfft.py:1(<module>)
     4102    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:969(<genexpr>)
     2611    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/utils.py:699(is_function)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/mpmath/calculus/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/linear_util.py:1(<module>)
        5    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:1250(getsource)
     9115    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/lax/slicing.py:1(<module>)
       18    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/calculus/accumulationbounds.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/custom_derivatives.py:1(<module>)
     1240    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/_distutils_hack/__init__.py:101(find_spec)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/numpy/ma/extras.py:1(<module>)
      102    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde.py:75(rotate_board_for_next_player)
     1339    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:383(field)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/functions/special/zeta_functions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_artifact_location.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/array_methods.py:1126(register_jax_array_methods)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_attachment.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/bytecode_analysis.py:1(<module>)
        5    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:1229(getsourcelines)
     2140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_notification.py:1(<module>)
      115    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:2128(getLogger)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/array_methods.py:1(<module>)
    10363    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_address.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jaxlib/gpu_solver.py:1(<module>)
      472    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/_ops/utils.py:60(wrapper)
      183    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_ops.py:1024(<genexpr>)
      347    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:407(_fields_in_init_order)
     2867    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py:66(wraps)
      243    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:336(randint)
     1048    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:919(getfile)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/interactive/__init__.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/mpmath/ctx_base.py:42(__init__)
      113    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:668(_frozen_get_del_attr)
     8502    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/fx/registration.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/variables/lists.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/plotting/intervalmath/__init__.py:1(<module>)
     8502    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2857    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/facts.py:633(<genexpr>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/types.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/matrices/decompositions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/ufunc_api.py:46(ufunc)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/tensor_contractions.py:1(<module>)
       28    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:891(cleandoc)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/utilities/iterables.py:1(<module>)
      158    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:183(sub)
      319    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/api_util.py:637(fun_sourceinfo)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jaxlib/mosaic/python/_tpu_gen.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/graph_deduplication.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/_ops/_embedding_ops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/mod.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/series/sequences.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/mpmath/functions/functions.py:18(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/tensor/array/dense_ndim_array.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/_rules.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/discrete/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/simplify/hyperexpand.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/cloudpickle/cloudpickle.py:1(<module>)
        9    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/assumptions/assume.py:175(__new__)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/csv.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/multipledispatch/dispatcher.py:1(<module>)
     5557    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/tempfile.py:880(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/simplify/trigsimp.py:1(<module>)
      895    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     2642    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:386(isfunction)
     1240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/opt_einsum/blas.py:1(<module>)
     1142    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/tempfile.py:360(mkdtemp)
      115    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1361(getLogger)
       25    0.000    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/fx/experimental/recording.py:229(decorator)
      922    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_ops.py:1010(<genexpr>)
     2754    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_graph.py:1(<module>)
      259    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde_env.py:265(_get_obs)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_numpy/_normalizations.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/fsdp/_fully_shard/_fsdp_api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/strategies/branch/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/_ops/_matrix_ops.py:1(<module>)
     1167    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
     1276    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/tree_util.py:73(tree_flatten)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/sorting.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_reporting_descriptor_reference.py:1(<module>)
      136    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/getpass.py:1(<module>)
     4409    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/image/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/gym_narde/envs/narde_env.py:56(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/polyoptions.py:392(Domain)
      243    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:295(randrange)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/opt_einsum/backends/cupy.py:1(<module>)
      258    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py:1055(_add_member_)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/printing/pretty/pretty_symbology.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/debugger/core.py:1(<module>)
      185    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/nn/api/remote_module.py:123(_RemoteModule)
      102    0.001    0.000    0.001    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde.py:16(rotate_board)
        1    0.000    0.000    0.001    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/state/indexing.py:1(<module>)
     3096    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:966(<genexpr>)
      753    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:164(match)
