         2636495 function calls (2508677 primitive calls) in 34.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   376/54    0.000    0.000    0.230    0.004 {built-in method builtins.__import__}
 1948/222    0.002    0.000    0.226    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       75    0.001    0.000    0.213    0.003 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/library.py:277(impl)
        7    0.000    0.000    0.210    0.030 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_library/custom_ops.py:20(custom_op)
    17/15    0.000    0.000    0.182    0.012 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_subclasses/fake_impls.py:107(contains_tensor_types)
        1    0.000    0.000    0.138    0.138 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/__init__.py:1(<module>)
        1    0.000    0.000    0.134    0.134 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/fsdp/_fully_shard/__init__.py:1(<module>)
     1143    0.002    0.000    0.131    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.128    0.128 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/fsdp/_fully_shard/_fully_shard.py:1(<module>)
2769/2719    0.027    0.000    0.124    0.000 {built-in method builtins.__build_class__}
     1620    0.115    0.000    0.115    0.000 {built-in method torch.cat}
      347    0.000    0.000    0.110    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:1294(wrap)
      347    0.008    0.000    0.110    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:929(_process_class)
     1141    0.014    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     1142    0.100    0.000    0.100    0.000 {method 'read' of '_io.BufferedReader' objects}
 1008/962    0.014    0.000    0.097    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde.py:101(get_valid_moves)
        1    0.000    0.000    0.092    0.092 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/fsdp/_flat_param.py:1(<module>)
     1141    0.089    0.000    0.089    0.000 {built-in method marshal.loads}
      277    0.089    0.000    0.089    0.000 {method 'to' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.088    0.088 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/fsdp/_fsdp_extensions.py:1(<module>)
        1    0.000    0.000    0.086    0.086 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/fsdp/_shard_utils.py:1(<module>)
        1    0.000    0.000    0.086    0.086 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/__init__.py:1(<module>)
        1    0.000    0.000    0.085    0.085 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/_ops/__init__.py:1(<module>)
        1    0.000    0.000    0.082    0.082 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/api.py:1(<module>)
        1    0.000    0.000    0.073    0.073 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/polyfuncs.py:1(<module>)
        1    0.000    0.000    0.073    0.073 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/specialpolys.py:1(<module>)
      347    0.000    0.000    0.071    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:1277(dataclass)
        1    0.000    0.000    0.068    0.068 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/rings.py:1(<module>)
        1    0.000    0.000    0.068    0.068 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/_ops/_conv_ops.py:1(<module>)
        1    0.000    0.000    0.066    0.066 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/printing/__init__.py:1(<module>)
     11/9    0.000    0.000    0.066    0.007 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_subclasses/fake_impls.py:109(<genexpr>)
      347    0.003    0.000    0.064    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:470(add_fns_to_class)
        1    0.000    0.000    0.064    0.064 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/variables/torch.py:1(<module>)
        9    0.000    0.000    0.061    0.007 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/__init__.py:2665(__getattr__)
        1    0.000    0.000    0.060    0.060 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/__init__.py:1(<module>)
     5111    0.017    0.000    0.060    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde.py:310(_would_violate_block_rule)
    20438    0.042    0.000    0.058    0.000 /Users/dleonenko/gym-narde/muzero/mcts.py:270(select_child)
     1240    0.006    0.000    0.057    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1166    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      968    0.001    0.000    0.055    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:330(_compile)
       41    0.000    0.000    0.054    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:287(compile)
        1    0.000    0.000    0.054    0.054 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/cloud_tpu_init.py:1(<module>)
       44    0.000    0.000    0.053    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:743(compile)
        1    0.000    0.000    0.053    0.053 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/config.py:1(<module>)
        1    0.000    0.000    0.053    0.053 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/printing/pycode.py:1(<module>)
       17    0.000    0.000    0.052    0.003 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/trace_rules.py:3407(add)
        1    0.000    0.000    0.052    0.052 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/printing/codeprinter.py:1(<module>)
        1    0.000    0.000    0.051    0.051 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/functions/__init__.py:1(<module>)
        1    0.000    0.000    0.051    0.051 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/lib/__init__.py:1(<module>)
        7    0.000    0.000    0.051    0.007 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/trace_rules.py:3400(_recompile_re)
        1    0.000    0.000    0.051    0.051 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/custom_batching.py:1(<module>)
        1    0.000    0.000    0.051    0.051 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/custom_batching.py:1(<module>)
        1    0.000    0.000    0.051    0.051 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/lax/__init__.py:1(<module>)
      240    0.000    0.000    0.050    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/gymnasium/wrappers/common.py:112(step)
      240    0.000    0.000    0.049    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/gymnasium/wrappers/common.py:389(step)
      240    0.000    0.000    0.049    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/gymnasium/core.py:323(step)
      240    0.000    0.000    0.049    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/gymnasium/wrappers/common.py:277(step)
      240    0.002    0.000    0.048    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde_env.py:112(step)
        1    0.000    0.000    0.048    0.048 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/lax/linalg.py:1(<module>)
        1    0.000    0.000    0.048    0.048 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/lax/linalg.py:1(<module>)
        1    0.000    0.000    0.046    0.046 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/lax/eigh.py:1(<module>)
     1240    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
